1924	attract	引きつける、魅了する	Her captivating smile attracted many people.	彼女の魅力的な笑顔は多くの人を引きつけました。	かのじょのみりょくてきなえがおはおおくのひとをひきつけました。
1925	mill	製粉所、工場	The old mill by the river has been converted into a popular cafe.	川のそばにある古い製粉所は、人気のあるカフェに改装されました。	かわのそばにあるふるいせいふんしょは、にんきのあるかふぇにかいそうされました。
1926	brick	レンガ、煉瓦、堅い素材	The wall was built with red bricks that gave it a sturdy appearance.	その壁は赤いレンガで作られており、頑丈な外観を与えていました。	そのかべはあかいれんがでつくられており、がんじょうながいかんをあたえていました。
1927	warn	警告する、注意する	The police officer warned us about the danger.	警察官は私たちに危険を警告しました。	けいさつかんはわたしたちにきけんをけいこくしました。
1928	prison	牢獄、刑務所	He spent ten years in prison for his crimes.	彼は犯罪のために10年間刑務所に入りました。	かれははんざいのために10ねんかんけいむしょにはいりました。
1929	attend	出席する、参加する	I will attend the meeting.	会議に出席します。	かいぎにしゅっせきします。
1930	actor	俳優	He is an actor working in Hollywood.	彼はハリウッドで活躍する俳優です。	かれははりうっどでかつやくするはいゆうです。
1931	that	その、あれ、あのこと	I can't believe that you did that!	あなたがそんなことをしたなんて信じられない！	あなたがそんなことをしたなんてしんじられない!
1932	persuade	説得する	She tried to persuade her friends to join her on the trip.	彼女は友達を旅行に参加するよう説得しようとしました。	かのじょはともだちをりょこうにさんかするようせっとくしようとしました。
1933	momentary	一瞬の、短時間の	Her momentary hesitation gave me a chance to speak.	彼女の一瞬のためらいが私に話すチャンスを与えてくれました。	かのじょのいっしゅんのためらいがわたしにはなすちゃんすをあたえてくれました。
1934	worm	虫、ミミズなどの小さな生き物	The children were fascinated by the tiny worm they found in the garden.	子供たちは庭で見つけた小さなミミズに夢中になっていました。	こどもたちはにわでみつけたちいさなみみずにむちゅうになっていました。
1935	deed	行為、行動、業績	He carried out a noble deed by donating to the local charity.	彼は地元の慈善団体に寄付をすることで、立派な行為を実行しました。	かれはじもとのじぜんだんたいにきふをすることで、りっぱなこういをじっこうしました。
1936	advice	助言、アドバイス	He gave his friend some good advice.	彼は友人に良いアドバイスを与えました。	かれはゆうじんによいあどばいすをあたえました。
1937	education	教育	Education is an investment in the future.	教育は未来への投資です。	きょういくはみらいへのとうしです。
1938	drag	引きずる、引っ張る	She had to drag the heavy suitcase across the airport.	彼女は重いスーツケースを空港で引きずらなくてはならなかった。	かのじょはおもいすーつけーすをくうこうでひきずらなくてはならなかった。
1939	destroy	破壊する、壊す	The storm was so powerful that it could destroy anything in its path.	その嵐は非常に力強く、道にあるものを何でも破壊できるほどでした。	そのあらしはひじょうにちからづよく、みちにあるものをなんでもはかいできるほどでした。
1940	fame	名声、有名であること	She achieved fame through her outstanding talent and hard work.	彼女はその卓越した才能と努力によって名声を得ました。	かのじょはそのたくえつしたさいのうとどりょくによってめいせいをえました。
1941	hay	干し草	The farmer gathered hay for the cows.	農夫は牛のために干し草を集めました。	のうふはうしのためにほしくさをあつめました。
1942	reference	参照、参考資料	Please refer to the reference section of the book for more information.	詳細については、書籍の参考文献セクションを参照してください。	しょうさいについては、しょせきのさんこうぶんけんせくしょんをさんしょうしてください。
1943	could	できる、可能性がある	She could finish her work on time if she stays focused.	彼女は集中すれば、時間通りに仕事を終えることができる。	かのじょはしゅうちゅうすれば、じかんどおりにしごとをおえることができる。
1944	chain	鎖、連鎖、つながり	The thief was caught because he left behind a broken chain.	その泥棒は、壊れた鎖を残したために捕まった。	そのどろぼうは、こわれたくさりをのこしたためにつかまった。
1945	hill	丘、斜面	We climbed to the top of the hill to enjoy the view.	私たちは景色を楽しむために丘の頂上まで登りました。	わたしたちはけしきをたのしむためにおかのちょうじょうまでのぼりました。
1946	roast	焼く、ロースト	She roasted the chicken in the oven for dinner.	彼女は夕食のために鶏肉をオーブンでローストしました。	かのじょはゆうしょくのためにけいにくをおーぶんでろーすとしました。
1947	fit	合う、適する	This dress fits you perfectly.	この服はあなたにぴったりです。	このふくはあなたにぴったりです。
1948	work	仕事、作業	He works late every day.	彼は毎日遅くまで仕事をしています。	かれはまいにちおそくまでしごとをしています。
1949	afternoon	午後	I had a picnic with my friends in the afternoon.	午後は友達と公園でピクニックをしました。	ごごはともだちとこうえんでぴくにっくをしました。
1950	chief	長官、首領、最高位の人	The chief of the department announced the new policy today.	その部署の長が今日、新しい方針を発表しました。	そのぶしょのちょうがきょう、あたらしいほうしんをはっぴょうしました。
1951	handwriting	手書きの文字、筆跡	Her handwriting is so elegant that it looks like it belongs in a beautiful book.	彼女の手書きはとても優雅で、美しい本に載っているように見えます。	かのじょのてがきはとてもゆうがで、うつくしいほんにのっているようにみえます。
1952	smell	匂い	The smell of the flowers is very pleasant.	花の匂いはとても心地よいです。	はなのにおいはとてもここちよいです。
1953	split	分ける、割る	I decided to split the pizza with my friends.	友達とピザを分けることにしました。	ともだちとぴざをわけることにしました。
1954	patient	患者、忍耐強い、我慢強い、気長な	The doctor advised the patient to be patient during the recovery process.	医師は患者に対し、回復の過程では辛抱強く待つようアドバイスした。	いしはかんじゃにたいし、かいふくのかていではしんぼうつよくまつようあどばいすした。
1955	copy	コピー、複製すること	Please make a copy of this document for me.	この書類のコピーを私のために作ってください。	このしょるいのこぴーをわたしのためにつくってください。
1956	notice	通知、告知	She found a new notice on the bulletin board.	彼女は掲示板に新しい通知を見つけました。	かのじょはけいじばんにあたらしいつうちをみつけました。
1957	expression	表現、表情	She has a unique expression when she is deep in thought.	彼女は考え事をしているとき、独特の表情をしています。	かのじょはかんがえごとをしているとき、どくとくのひょうじょうをしています。
1958	material	材料、素材	The artist chose vibrant colors and textured materials for her latest sculpture.	そのアーティストは最新の彫刻のために鮮やかな色とテクスチャーのある材料を選びました。	そのあーてぃすとはさいしんのちょうこくのためにあざやかないろとてくすちゃーのあるざいりょうをえらびました。
1959	machine	機械、装置	The factory uses a large machine to assemble the products.	その工場では、大きな機械を使って製品を組み立てています。	そのこうじょうでは、おおきなきかいをつかってせいひんをくみたてています。
1960	month	月	This month is very busy for me.	今月はとても忙しいです。	こんげつはとてもいそがしいです。
1961	literature	文学、文献	Reading classic literature can provide deep insights into different cultures and historical periods.	古典文学を読むことは、さまざまな文化や歴史的な時代への深い洞察を提供してくれます。	こてんぶんがくをよむことは、さまざまなぶんかやれきしてきなじだいへのふかいどうさつをていきょうしてくれます。
1962	like	好む、～が好き	I like dogs.	私は犬が好きです。	わたしはいぬがすきです。
1963	somehow	どういうわけか、なんとかして	I somehow managed to finish the project on time.	なんとかしてそのプロジェクトを期限内に終わらせることができました。	なんとかしてそのぷろじぇくとをきげんないにおわらせることができました。
1964	exchange	交換する	We exchanged contact information.	私たちは連絡先を交換しました。	わたしたちはれんらくさきをこうかんしました。
1965	chicken	鶏肉、鶏	I had grilled chicken for dinner last night.	昨夜の夕食にグリルチキンを食べました。	さくやのゆうしょくにぐりるちきんをたべました。
1966	jaw	顎（あご）、顎の骨	He injured his jaw while playing soccer.	彼はサッカーをしている時に顎をけがしました。	かれはさっかーをしているときにあごをけがしました。
1967	seat	席	Please take a seat in the empty chair.	空いている席に座ってください。	あいているせきにすわってください。
1968	exist	存在する	There may be many life forms that exist in our universe that are yet to be discovered.	私たちの宇宙には、まだ解明されていない多くの生命が存在するかもしれません。	わたしたちのうちゅうには、まだかいめいされていないおおくのせいめいがそんざいするかもしれません。
1969	family	家族	The family always supports each other and shares love.	家族はいつも支え合い、愛を分かち合っています。	かぞくはいつもささえあい、あいをわかちあっています。
1970	will	意思、未来の行動を表す助動詞	If anything can go wrong, it will.	失敗する可能性のあるものは、失敗する。	しっぱいするかのうせいのあるものは、しっぱいする。
1971	taste	味	This dish has the taste of fresh herbs and is very delicious.	この料理は新鮮なハーブの味がして、とても美味しいです。	このりょうりはしんせんなはーぶのあじがして、とてもおいしいです。
1972	forward	前に、進む方向	She took a step forward to express her feelings.	彼女は自分の気持ちを伝えるために一歩前に進んだ。	かのじょはじぶんのきもちをつたえるためにいちほまえにすすんだ。
1973	escape	逃げる、脱出する	When you surround an enemy, be sure to leave them a small escape route.	敵を包囲するときは、必ず敵に小さな逃げ道を残しておいてください。	てきをほういするときは、かならずてきにちいさなにげみちをのこしておいてください。
1974	beneath	下に	The cat is hiding beneath the table.	猫はテーブルの下に隠れています。	ねこはてーぶるのしたにかくれています。
1975	pair	対、ペア、組	I bought a pair of shoes for my friend’s birthday.	友達の誕生日に靴を一足買いました。	ともだちのたんじょうびにくつをひとあしかいました。
1976	anyhow	とにかく、どうにかして	We have to finish the job anyhow.	どうにかして、その仕事を終わらせなければならない。	どうにかして、そのしごとをおわらせなければならない。
1977	then	それから、その後	I went to the store, and then I cooked dinner.	私は店に行って、それから夕食を作りました。	わたしはみせにいって、それからゆうしょくをつくりました。
1978	class	授業、クラス、階級	I attended a fascinating biology class yesterday.	昨日、興味深い生物学の授業に参加しました。	きのう、きょうみふかいせいぶつがくのじゅぎょうにさんかしました。
1979	stir	かき混ぜる、掻き立てる	Please stir the soup until it becomes smooth.	スープが滑らかになるまでかき混ぜてください。	すーぷがなめらかになるまでかきまぜてください。
1980	inward	内向的な、内側の	She took an inward breath before speaking to the crowd.	彼女は群衆に向かって話す前に、深呼吸をした。	かのじょはぐんしゅうにむかってはなすまえに、しんこきゅうをした。
1981	minute	分、ミニッツ	The meeting will start in one minute.	会議はあと1分で始まります。	かいぎはあといっぷんではじまります。
1982	director	ディレクター、監督	The director oversees the production of the film.	ディレクターは映画の制作を指揮します。	でぃれくたーはえいがのせいさくをしきします。
1983	towel	タオル	I took a towel from the bathroom to dry my hands.	バスルームからタオルを取って手を拭きました。	ばするーむからたおるをとっててをふきました。
1984	instant	即時の、瞬時の	You can get an instant response by pressing the help button.	ヘルプボタンを押すことで、即時の応答を得ることができます。	へるぷぼたんをおすことで、そくじのおうとうをえることができます。
1985	paw	足、特に動物の足や手のこと	Cats love to groom their paws.	猫は自分の足をきれいに舐めるのが好きです。	ねこはじぶんのあしをきれいになめるのがすきです。
1986	pardon	許し、許可	Could you please pardon my mistake in the report?	報告書の間違いを許していただけますか？	ほうこくしょのまちがいをゆるしていただけますか?
1987	I	自己、私、主語としての「I」	I enjoy reading books in my free time.	私は自由な時間に本を読むのが好きです。	わたしはじゆうなじかんにほんをよむのがすきです。
1988	collar	襟、首輪	She wore a beautiful dress with a lace collar.	彼女はレースの襟がついた美しいドレスを着ていた。	かのじょはれーすのえりがついたうつくしいどれすをきていた。
1989	shake	振る、揺れる	Please shake the bottle before using the medicine.	薬を使う前にボトルを振ってください。	くすりをつかうまえにぼとるをふってください。
1990	mind	心、思考、考え	She has a creative mind that comes up with innovative ideas.	彼女は革新的なアイデアを考え出す創造的な思考を持っています。	かのじょはかくしんてきなあいであをかんがえだすそうぞうてきなしこうをもっています。
1991	union	団結、連合	The workers formed a union to protect their rights.	労働者たちは自分たちの権利を守るために組合を結成した。	ろうどうしゃたちはじぶんたちのけんりをまもるためにくみあいをけっせいした。
1992	red	赤色、情熱や危険を象徴する色	The red apple on the table looked so delicious.	テーブルの上の赤いリンゴはとても美味しそうに見えた。	てーぶるのうえのあかいりんごはとてもおいしそうにみえた。
1993	board	板、ボード	He started painting on a wooden board.	彼は木のボードに絵を描き始めました。	かれはきのぼーどにえをえがきはじめました。
1994	camp	キャンプ	We are going to camp in the mountains this weekend.	今週末、私たちは山でキャンプをする予定です。	こんしゅうまつ、わたしたちはやまできゃんぷをするよていです。
1995	big	大きい、巨大な	The elephant is a big animal that lives in the savannah.	その象はサバンナに住んでいる大きな動物です。	そのぞうはさばんなにすんでいるおおきなどうぶつです。
1996	necessary	必要なこと、必須のこと	It is necessary to have effort and planning in order to succeed.	成功するためには、努力と計画が必要です。	せいこうするためには、どりょくとけいかくがひつようです。
1997	razor	剃刀、髭剃りや髪の毛を切るための鋭い刃物	He shaves his beard with a razor every morning.	彼は毎朝、剃刀で髭を剃ります。	かれはまいあさ、かみそりでひげをそります。
1998	procession	行列、行進	The wedding procession was beautiful.	結婚式の行列は美しかった。	けっこんしきのぎょうれつはうつくしかった。
1999	connect	接続する、つなぐ	He connected his computer to the internet.	彼は自分のコンピューターをインターネットに接続しました。	かれはじぶんのこんぴゅーたーをいんたーねっとにせつぞくしました。
2000	away	離れた、遠くに	She moved away to a distant city.	彼女は遠くの街へ引っ越してしまいました。	かのじょはとおくのまちへひっこしてしまいました。
2001	merry	楽しい、陽気な	We had a merry time celebrating her birthday.	彼女の誕生日を祝って楽しい時間を過ごしました。	かのじょのたんじょうびをいわってたのしいじかんをすごしました。
2002	bean	豆	I added some black beans to the salad for extra protein.	サラダにタンパク質を増やすために黒豆を加えました。	さらだにたんぱくしつをふやすためにくろまめをくわえました。
2003	tomorrow	明日	I plan to go to bed early because tomorrow is an important day.	明日は大切な日なので、早く寝るつもりです。	あすはたいせつなひなので、はやくねるつもりです。
2004	thorough	徹底的な、隅々まで行き届いた	His investigation was very thorough.	彼の調査は非常に徹底的でした。	かれのちょうさはひじょうにてっていてきでした。
2005	weak	弱い、脆い	He gets sick every year with the flu because he is weak.	彼は体が弱くて、毎年インフルエンザにかかります。	かれはからだがよわくて、まいとしいんふるえんざにかかります。
2006	jealousy	嫉妬、不満から生じる感情	Her jealousy caused her to doubt his love for her.	彼女の嫉妬が彼の愛を疑わせる原因となった。	かのじょのしっとがかれのあいをうたがわせるげんいんとなった。
2007	blow	吹く、風	The wind is blowing strongly.	風が強く吹いています。	かぜがつよくふいています。
2008	darken	暗くする、濃くする	The clouds began to darken the sky, signaling an approaching storm.	雲が空を暗くし始め、嵐が近づいている合図となった。	くもがそらをくらくしはじめ、あらしがちかづいているあいずとなった。
2009	water	水	It's important to drink enough water every day to stay hydrated.	毎日十分な水を飲んで水分補給をすることが大切です。	まいにちじゅうぶんなみずをのんですいぶんほきゅうをすることがたいせつです。
2010	news	ニュース、知らせ	I heard some surprising news about our favorite band.	私たちのお気に入りのバンドについて驚くべきニュースを聞きました。	わたしたちのおきにいりのばんどについておどろくべきにゅーすをききました。
2011	dust	ほこり	He dusted the room to make it clean.	彼は部屋をきれいにするためにほこりを払いました。	かれはへやをきれいにするためにほこりをはらいました。
2012	bit	少し、わずか	Could you please take a bit of time to help me with this task?	この作業を手伝ってもらうのに少し時間を取ってもらえますか？	このさぎょうをてつだってもらうのにすこしじかんをとってもらえますか?
2013	become	なる、変化する	She wants to become a doctor in the future.	彼女は将来医者になりたいです。	かのじょはしょうらいいしゃになりたいです。
2014	early	早い、早く	I woke up early and went for a morning walk.	私は早く起きて、朝の散歩に出かけました。	わたしははやくおきて、あさのさんぽにでかけました。
2015	tobacco	たばこ	He quit smoking tobacco last year.	彼は昨年、たばこをやめました。	かれはさくねん、たばこをやめました。
2016	bone	骨、物の骨格や基本的な部分	The dog buried a bone in the backyard.	その犬は裏庭に骨を埋めました。	そのいぬはうらにわにほねをうめました。
2017	idea	アイデア	She came up with a brilliant idea that made the project a success.	彼女は素晴らしいアイデアを思いついて、プロジェクトを成功させました。	かのじょはすばらしいあいであをおもいついて、ぷろじぇくとをせいこうさせました。
2018	dictionary	辞書	I looked up the meaning of a new word in the dictionary.	辞書を使って新しい単語の意味を調べました。	じしょをつかってあたらしいたんごのいみをしらべました。
2019	tailor	仕立て屋、適合させる、調整する人	The tailor made a beautiful suit for the wedding.	その仕立て屋は結婚式のために美しいスーツを作りました。	そのしたてやはけっこんしきのためにうつくしいすーつをつくりました。
2020	fork	フォーク、食器の一種	Please use a fork to eat your salad.	サラダを食べるときはフォークを使ってください。	さらだをたべるときはふぉーくをつかってください。
2021	egg	卵	She cooked a delicious omelet with two fresh eggs.	彼女は新鮮な卵二つで美味しいオムレツを作った。	かのじょはしんせんなたまごふたつでおいしいおむれつをつくった。
2022	offer	提供する	I offered him a cup of coffee.	私は彼にコーヒーを提供しました。	わたしはかれにこーひーをていきょうしました。
2023	extend	拡張する、延長する	We decided to extend our vacation by another week.	私たちは休暇をもう1週間延長することに決めました。	わたしたちはきゅうかをもういっしゅうかんえんちょうすることにきめました。
2024	aloud	声に出して、はっきりと	She read the book aloud.	彼女は本を声に出して読んでいました。	かのじょはほんをこえにだしてよんでいました。
2025	ride	乗ること、乗り物の利用	I am excited to ride the roller coaster at the amusement park.	遊園地でジェットコースターに乗るのが楽しみです。	ゆうえんちでじぇっとこーすたーにのるのがたのしみです。
2026	engine	エンジン、機械の動力源	The car's engine was making a strange noise.	その車のエンジンは変な音を立てていた。	そのくるまのえんじんはへんなおとをたてていた。
2027	among	間に、の中で、の中に	The secret was only known among our closest friends.	その秘密は、私たちの親しい友人たちの間でしか知られていなかった。	そのひみつは、わたしたちのしたしいゆうじんたちのあいだでしかしられていなかった。
2028	mass	質量、大量	The mass of the object in space affects how it interacts with gravity.	宇宙にある物体の質量は、重力との相互作用に影響を与えます。	うちゅうにあるぶったいのしつりょうは、じゅうりょくとのそうごさようにえいきょうをあたえます。
2029	wipe	拭く、消去する	Please wipe the table before we sit down for dinner.	夕食を始める前にテーブルを拭いてください。	ゆうしょくをはじめるまえにてーぶるをふいてください。
2030	winter	冬	In winter, the snow falls and the town is beautifully adorned.	冬になると雪が降り、街は美しく装飾されます。	ふゆになるとゆきがふり、まちはうつくしくそうしょくされます。
2031	map	地図、地図帳	I used a map to find my way through the city.	私は街を通り抜けるために地図を使いました。	わたしはまちをとおりぬけるためにちずをつかいました。
2032	engineer	エンジニア、技術者	She decided to become an engineer because she loves solving complex problems.	彼女は複雑な問題を解決するのが好きだからエンジニアになることに決めた。	かのじょはふくざつなもんだいをかいけつするのがすきだからえんじにあになることにきめた。
2033	leave	去る、出発する、離れる	I decided to leave early to avoid the traffic.	混雑を避けるために早めに出発することにしました。	こんざつをさけるためにはやめにしゅっぱつすることにしました。
2034	mother	母、母親	My mother always supports me in everything I do.	私の母は、私がするすべてのことを常に応援してくれます。	わたしのははは、わたしがするすべてのことをつねにおうえんしてくれます。
2035	luck	運、幸運	I found a four-leaf clover, and I believe it's my lucky charm.	四つ葉のクローバーを見つけて、これは私の幸運のシンボルだと思います。	よつばのくろーばーをみつけて、これはわたしのこううんのしんぼるだとおもいます。
2036	either	どちらか、いずれかの選択肢	You can either go to the party or stay home and rest.	あなたはパーティーに行くか、家にいて休むかのどちらかを選べます。	あなたはぱーてぃーにいくか、いえにいてやすむかのどちらかをえらべます。
2037	representative	代表者、代理人	The representative presented our ideas at the conference.	その代表者が会議で私たちのアイデアを発表しました。	そのだいひょうしゃがかいぎでわたしたちのあいであをはっぴょうしました。
2038	nephew	甥	His nephew receives special gifts every year on his birthday.	彼の甥は毎年誕生日に特別なプレゼントをもらいます。	かれのおいはまいとしたんじょうびにとくべつなぷれぜんとをもらいます。
2039	table	テーブル、表	The dining table is set for a delicious meal.	食事のためにダイニングテーブルが用意されています。	しょくじのためにだいにんぐてーぶるがよういされています。
2040	spoon	スプーン、食器の一種	I used a spoon to eat my soup.	私はスープを飲むためにスプーンを使いました。	わたしはすーぷをのむためにすぷーんをつかいました。
2041	foreign	外国の	She is interested in foreign cultures and is planning a trip.	彼女は外国の文化に興味があり、旅行を計画しています。	かのじょはがいこくのぶんかにきょうみがあり、りょこうをけいかくしています。
2042	break	壊す、中断する	I need to take a break from studying to clear my mind.	勉強から少し休憩を取って頭をリフレッシュする必要があります。	べんきょうからすこしきゅうけいをとってあたまをりふれっしゅするひつようがあります。
2043	president	大統領、社長	The president addressed the nation during the crisis.	大統領は危機の際に国民に演説をしました。	だいとうりょうはききのさいにこくみんにえんぜつをしました。
2044	offend	侮辱する、気分を害する	His insensitive words offended many people.	彼の無神経な言葉は多くの人々を侮辱した。	かれのむしんけいなことばはおおくのひとびとをぶじょくした。
2045	distant	遠い、離れた	The distant mountains were shrouded in mist.	遠くの山々は霧に包まれていた。	とおくのやまやまはきりにつつまれていた。
2046	mechanic	整備士、機械工	The mechanic fixed my car in no time.	整備士は私の車をあっという間に修理してくれました。	せいびしはわたしのくるまをあっというまにしゅうりしてくれました。
2047	dance	踊ること、ダンス	She loves to dance at parties and celebrates every occasion with joy.	彼女はパーティーで踊るのが大好きで、あらゆる機会を喜びと共に祝います。	かのじょはぱーてぃーでおどるのがだいすきで、あらゆるきかいをよろこびとともにいわいます。
2048	if	もしも、〜ならば	If it rains tomorrow, we will stay indoors.	明日雨が降ったら、私たちは家の中にいます。	あすあめがふったら、わたしたちはいえのなかにいます。
2049	sailor	海員、船乗り	The sailor bravely navigated through the stormy seas.	その水夫は嵐の海を勇敢に航海した。	そのすいふはあらしのうみをゆうかんにこうかいした。
2050	god	神	Many people find comfort in their belief in God during difficult times.	多くの人々は困難な時期に神への信仰に慰めを見出します。	おおくのひとびとはこんなんなじきにかみへのしんこうになぐさめをみいだします。
2051	article	記事、論文	She wrote an interesting article about her travels.	彼女は旅行について興味深い記事を書いた。	かのじょはりょこうについてきょうみぶかいきじをかいた。
2052	how	方法、どのように	How do you solve this difficult problem?	この難しい問題は、どのように解きますか？	このむずかしいもんだいは、どのようにときますか?
2053	behave	振る舞う、行動する	He behaved very well at the party.	彼はパーティーでとても良い振る舞いをしました。	かれはぱーてぃーでとてもよいふるまいをしました。
2054	vowel	母音	\"a\", \"i\", \"u\", \"e\", and \"o\" are vowels.	「a」、「i」、「u」、「e」、「o」は母音です。	「a」、「i」、「u」、「e」、「o」はぼいんです。
2055	terrible	ひどい、恐ろしい	His terrible behavior shocked everyone.	彼のひどい行為は皆に衝撃を与えた。	かれのひどいこういはみなにしょうげきをあたえた。
2056	lock	ロック、鍵をかけること	Please remember to lock the door before you leave the house.	出かける前にドアに鍵をかけることを忘れないでください。	でかけるまえにどあにかぎをかけることをわすれないでください。
2057	manage	管理する、対処する	I need to manage my time better to meet all my deadlines.	すべての締め切りに間に合うように、もっと時間を管理する必要がある。	すべてのしめきりにまにあうように、もっとじかんをかんりするひつようがある。
2058	dozen	12個、ダース	She bought a dozen eggs from the store.	彼女は店で12個の卵を買いました。	かのじょはみせで12このたまごをかいました。
2059	however	しかし、だが	However, we must consider the potential risks before making a decision.	しかし、私たちは決定を下す前に潜在的なリスクを考慮しなければなりません。	しかし、わたしたちはけっていをくだすまえにせんざいてきなりすくをこうりょしなければなりません。
2060	unless	〜でない限り、もし〜でなければ	You won't succeed unless you work hard.	一生懸命に働かない限り、成功することはないでしょう。	いっしょうけんめいにはたらかないかぎり、せいこうすることはないでしょう。
2061	stair	階段	He climbs the stairs to go to work every morning.	彼は毎朝階段を上って仕事に行きます。	かれはまいあさかいだんをのぼってしごとにいきます。
2062	quart	クォート（液量の単位、約0.95リットル）	I measured the milk in a quart for the recipe.	レシピのためにミルクをクォートで測りました。	れしぴのためにみるくをくぉーとではかりました。
2063	lay	置く、横たえる	Please lay the book on the table.	本をテーブルの上に置いてください。	ほんをてーぶるのうえにおいてください。
2064	youth	若さ、青春	Youth is often considered a time of dreams and possibilities.	青春は、夢や可能性の時期と考えられることが多い。	せいしゅんは、ゆめやかのうせいのじきとかんがえられることがおおい。
2065	colony	植民地、群れ	The ant colony worked tirelessly to gather food for the winter.	アリのコロニーは冬に備えて食料を集めるために懸命に働いていました。	ありのころにーはふゆにそなえてしょくりょうをあつめるためにけんめいにはたらいていました。
2066	lake	湖	He was reading a book by the quiet lake.	彼は静かな湖のほとりで本を読んでいました。	かれはしずかなみずうみのほとりでほんをよんでいました。
2067	boil	沸騰させる、ゆでる	Please boil the water.	お湯を沸かしてください。	おゆをわかしてください。
2068	devil	悪魔、邪悪な存在	The devil tempted him to make a wrong decision.	悪魔は彼に間違った決断をするよう誘惑した。	あくまはかれにまちがったけつだんをするようゆうわくした。
2069	learn	学ぶ、習得する	He practices every day to learn a new language.	彼は新しい言語を学ぶために毎日練習しています。	かれはあたらしいげんごをまなぶためにまいにちれんしゅうしています。
2070	easy	簡単な、楽な	This problem is so easy that I think you can solve it right away.	この問題は非常に簡単なので、すぐに解けると思います。	このもんだいはひじょうにかんたんなので、すぐにとけるとおもいます。
2071	belt	ベルト、帯状の物	I bought a new leather belt for my suit.	スーツのために新しい革のベルトを買いました。	すーつのためにあたらしいかわのべるとをかいました。
2072	omission	省略、脱落	His name was an omission from the list.	彼の名前がリストから省略されていた。	かれのなまえがりすとからしょうりゃくされていた。
2073	when	いつ、～する時	I will call you when I arrive at the station.	駅に着いた時に電話します。	えきについたときにでんわします。
2074	load	積み込む、荷物を載せる	Please load the boxes onto the truck carefully.	ボックスをトラックに丁寧に積み込んでください。	ぼっくすをとらっくにていねいにつみこんでください。
2075	dismiss	解雇する、退ける、無視する	The manager decided to dismiss the proposal due to lack of evidence.	マネージャーは根拠が不足しているため、その案を退けることに決めました。	まねーじゃーはこんきょがふそくしているため、そのあんをしりぞけることにきめました。
2076	uncle	おじ	My uncle told the children some interesting stories.	おじは子供たちに面白い話をしてくれました。	おじはこどもたちにおもしろいはなしをしてくれました。
2077	die	死ぬ	He died of illness last year.	彼は昨年、病気で亡くなりました。	かれはさくねん、びょうきでなくなりました。
2078	sweep	掃く、掃除する	Please remember to sweep the floor before our guests arrive.	お客様が到着する前に床を掃除するのを忘れないでください。	おきゃくさまがとうちゃくするまえにゆかをそうじするのをわすれないでください。
2079	snow	雪	The snow covered the ground in a beautiful white blanket.	雪は地面を美しい白い布で覆った。	ゆきはじめんをうつくしいしろいぬのでおおった。
2080	raise	上げる、育てる	She raised her hand to ask a question.	彼女は手を上げて質問をしました。	かのじょはてをあげてしつもんをしました。
2081	depend	依存する、頼る	You can always depend on your friends to support you.	友達はいつでもあなたを支えてくれるので、頼りにできます。	ともだちはいつでもあなたをささえてくれるので、たよりにできます。
2082	mouth	口	She smiled and opened her mouth to speak.	彼女は微笑んで話すために口を開けた。	かのじょはほほえんではなすためにくちをあけた。
2083	hesitate	躊躇する、ためらう	He hesitated to make the decision.	彼はその決断をすることにためらっていた。	かれはそのけつだんをすることにためらっていた。
2084	christmas	クリスマス、キリストの誕生を祝う日	We celebrate Christmas with our family every year.	私たちは毎年家族と一緒にクリスマスを祝います。	わたしたちはまいとしかぞくといっしょにくりすますをいわいます。
2085	fire	火、炎、発射、射撃、解雇、焚き火、炉	The firefighters quickly responded to the raging fire in the forest.	消防士たちは森の中で燃え盛る火に迅速に対応した。	しょうぼうしたちはもりのなかでもえさかるひにじんそくにたいおうした。
2086	pet	ペット、お気に入り、かわいがっている、なでる	I bought a new pet rabbit for my daughter.	私は娘のために新しいペットのウサギを買いました。	わたしはむすめのためにあたらしいぺっとのうさぎをかいました。
2087	commercial	商業の、商業に関する	The company launched a new commercial to promote its product.	その会社は、自社の製品を宣伝するために新しいコマーシャルを放送しました。	そのかいしゃは、じしゃのせいひんをせんでんするためにあたらしいこまーしゃるをほうそうしました。
2088	wind	風	A strong wind is blowing.	強い風が吹いています。	つよいかぜがふいています。
2089	there	そこに、あの場所に	There are many beautiful parks in this city.	この街にはたくさんの美しい公園があります。	このまちにはたくさんのうつくしいこうえんがあります。
2090	game	ゲーム、試合	I love playing video games with my friends on the weekends.	私は週末に友達とビデオゲームをするのが大好きです。	わたしはしゅうまつにともだちとびでおげーむをするのがだいすきです。
2091	flame	炎、火焰	The candle's flame flickered in the dark room.	キャンドルの炎が暗い部屋で揺れていました。	きゃんどるのほのおがくらいへやでゆれていました。
2092	he	彼、男性を指す代名詞	He is my best friend and always supports me.	彼は私の親友で、いつも私を支えてくれます。	かれはわたしのしんゆうで、いつもわたしをささえてくれます。
2093	perfect	完璧な、完全な	Her performance in the play was absolutely perfect.	彼女の劇での演技は完全に完璧でした。	かのじょのげきでのえんぎはかんぜんにかんぺきでした。
2094	encourage	励ます、奨励する	The teacher encouraged the students to ask questions.	先生は生徒たちに質問するように励ました。	せんせいはせいとたちにしつもんするようにはげました。
