id	word	definition_en	definition_ja	example_en	example_ja	kana	level	grouping	similar_ids
3346	one and only	the only one; unique.	唯一の、ただ一つの	He is my one and only friend.	彼は私にとって唯一の友達です。	かれはわたしにとってゆいいつのともだちです。	1	0	9697,11400,11453,364,4808,6845,9673,7434,774,3880
3347	preemptive	done or made as a measure against something anticipated; proactive to prevent an event or situation.	先制的、事前の行動を取ること	He took preemptive measures before the problem escalated.	彼は問題が悪化する前に先制的な対策を講じました。	かれはもんだいがあっかするまえにせんせいてきなたいさくをこうじました。	2	1	5316,5967,10928,8471,12915,3009,3603,6032,11181,10914
3348	trident	a three-pronged spear, often associated with Poseidon or Neptune in mythology.	三叉の槍、三つの先端を持つ道具	Statues of ancient gods often hold a trident.	古代の神々の像は、しばしばトライデントを持っています。	こだいのかみがみのぞうは、しばしばとらいでんとをもっています。	2	4	6721,14135,1017,12688,4638,5473,3261,13566,9360,8548
3349	in the suburbs of	located on the outskirts or nearby areas of a city or town.	郊外に、郊外の地域で	I am thinking about moving to a house in the suburbs of the city.	私は郊外の家に引っ越すことを考えています。	わたしはこうがいのいえにひっこすことをかんがえています。	1	0	5854,6260,2106,2670,6616,4958,11276,8834,9932,10534
3350	refrain from	to hold oneself back from doing something.	差し控える	He chose to refrain from voicing his opinion during the meeting.	彼は会議中に意見を差し控えました。	かれはかいぎちゅうにいけんをさしひかえました。	1	1	1919,12445,13868,4135,7247,3968,5834,826,2083,4846
3351	in obedience to	in accordance with or complying with.	従うことによって、従って	He began working immediately in obedience to his supervisor's instructions.	彼は上司の指示に従って、すぐに仕事を始めました。	かれはじょうしのしじにしたがって、すぐにしごとをはじめました。	1	0	11989,5294,12170,7887,12143,7423,14251,4019,14534,9759
3352	solstice	the time when the sun is at its greatest or least distance from the equator, marking the longest or shortest day of the year.	至点、太陽の位置が最も高いまたは低い日	On the summer solstice, we celebrate the longest day of the year.	夏至の日、私たちは昼が最も長いことを祝います。	げしのひ、わたしたちはひるがもっともながいことをいわいます。	2	0	315,11125,1122,6796,2222,5651,1699,2030,13137,433
3353	profanity	the use of bad or offensive language.	冒涜的な言葉、汚い言葉	He used profanity in front of the children.	彼は不適切な言葉を使ってしまった。	かれはふてきせつなことばをつかってしまった。	2	2	7170,2915,6237,2318,8811,13422,14011,2753,3380,12006
3354	pelvis	the large bone structure at the base of the spine to which the legs are attached	骨盤	The pelvis is an important part located at the center of the body.	骨盤は体の中心にある重要な部分です。	こつばんはからだのちゅうしんにあるじゅうようなぶぶんです。	2	4	4114,3678,12458,11691,237,2772,13511,10967,2016,13679
3355	sultry	hot and humid, often in a way that is sexually attractive or seductive	蒸し暑い、湿気の多い	It was hard to sleep that night because of the sultry weather.	その晩、蒸し暑い天気のせいで寝苦しかった。	そのばん、むしあついてんきのせいでねぐるしかった。	2	3	1216,2434,574,1185,12862,5878,7464,6696,13066,14279
3356	satchel	a bag with a shoulder strap, typically made of leather and used for carrying books or personal items	学生かばん、小型かばん	He took a satchel with him to school.	彼は学校に行くのにかばんを持って行きました。	かれはがっこうにいくのにかばんをもっていきました。	2	4	5674,13093,4081,92,643,1910,3652,12191,9308,9394
3357	piecemeal	done gradually and in small amounts instead of all at once	部分的に、少しずつ	The project is being done piecemeal and is not yet finished.	プロジェクトは部分的に進められていて、まだ完了していません。	ぷろじぇくとはぶぶんてきにすすめられていて、まだかんりょうしていません。	2	0	13265,5788,5409,2701,4025,6644,11926,8164,5521,14444
3358	insufferable	too extreme to be endured; unbearably bad or unpleasant	耐え難い、我慢できない	He has an insufferable level of arrogance.	彼は耐え難いほどの傲慢さを持っています。	かれはたえがたいほどのごうまんさをもっています。	2	2	10273,5923,6698,8207,7211,3012,6892,14510,1535,8127
3359	come up with	to think of or produce an idea, plan, or solution	～を思いつく	He came up with a great idea.	彼は素晴らしいアイデアを思いつきました。	かれはすばらしいあいであをおもいつきました。	1	1	8323,11544,2017,5943,5762,254,5680,6794,3395,5820
3360	fall prey to	to become a victim of something harmful, such as a disease, disaster, or trick	犠牲になる、被害に遭う	Many people fall prey to scams.	多くの人が詐欺の犠牲になっています。	おおくのひとがさぎのぎせいになっています。	1	1	3340,4492,11456,3233,5425,5087,4194,7419,11303,6103
3361	back away	to move backward, especially to avoid something or because of fear or uncertainty	後退する、退く	He backed away from the animal in fear.	彼は恐怖からその動物から後退しました。	かれはきょうふからそのどうぶつからこうたいしました。	1	1	8847,8533,4245,1973,8919,8327,12872,4682,5981,10626
3362	impervious	not allowing fluid or air to pass through; not affected or influenced by something	影響を受けない、遮断する	She seemed impervious to criticism.	彼女は批判に対して全く影響を受けないように見えました。	かのじょはひはんにたいしてまったくえいきょうをうけないようにみえました。	2	2	13112,4303,11473,8221,13272,10781,13791,12565,8157,12731
3363	extrovert	a person who is outgoing, sociable, and energizes through interaction with others	外向的な人、社交的な人	She is an extrovert and always the life of the party.	彼女はとても外向的な性格で、パーティーでは常に中心にいます。	かのじょはとてもがいこうてきなせいかくで、ぱーてぃーではつねにちゅうしんにいます。	2	3	7213,2913,10331,3581,2887,8850,7216,8959,4105,13126
3364	ravine	a deep, narrow gorge with steep sides, often formed by running water	峡谷、深い谷	He stood at the bottom of the ravine, awestruck by its beauty.	彼は峡谷のふもとに立って、その美しさに息を呑んだ。	かれはきょうこくのふもとにたって、そのうつくしさにいきをのんだ。	2	4	5624,8467,3441,729,651,5639,5523,3387,1367,5135
3365	posterior	located at the back; rear; the back part of an animal or plant	後部、後ろの部分	He injured his posterior in the accident.	彼は事故で後部を打ってしまいました。	かれはじこでこうぶをうってしまいました。	2	4	14037,11105,132,7531,911,12299,1307,10773,1600,2552
3366	tempestuous	turbulent, disorderly, or full of strong emotions	激しい、荒れた、乱れた感情を持つ	Her emotions were tempestuous, swirling like a fierce storm.	彼女の感情は、激しい嵐のように揺れ動いていました。	かのじょのかんじょうは、はげしいあらしのようにゆれうごいていました。	2	2	7474,6582,2660,8731,7876,3627,13725,5400,14153,10412
3367	frugal	indicating or characterized by a economy in the use of money or food; simple and plain	倹約的な、質素な	He is living a frugal lifestyle to save money for the future.	彼は倹約的な生活を送ることで、将来のために貯蓄を増やしています。	かれはけんやくてきなせいかつをおくることで、しょうらいのためにちょちくをふやしています。	2	3	9821,1669,10851,7037,13184,8461,12508,8439,4791,871
3368	delirious	in a state of wild excitement, confusion, or hallucination, often due to illness or fever	興奮状態の、妄想状態の	He was delirious with a fever.	彼は熱で苦しんでいるとき、妄想状態になっていました。	かれはねつでくるしんでいるとき、もうそうじょうたいになっていました。	2	2	13822,14142,4766,10614,3438,6478,3339,3982,8787,6631
3369	mirth	amusement, joy, or happiness, often expressed with laughter	大喜び、楽しさ	Her humor filled everyone with mirth.	彼女のユーモアは皆を大きな大喜びにさせました。	かのじょのゆーもあはみなをおおきなおおよろこびにさせました。	2	3	2144,2477,13012,14475,2198,9253,13058,1027,14076,7345
3370	prospectus	a printed document that advertises or describes a school, business, or other organization and its activities or future plans	概要、計画書	He carefully examined the prospectus for the university's new program.	彼は大学の新しいプログラムについての概要を詳しく検討しました。	かれはだいがくのあたらしいぷろぐらむについてのがいようをくわしくけんとうしました。	2	4	13994,3967,5739,1860,5431,9369,9403,6544,10151,3743
3372	painstaking	done with great care and attention to detail; meticulous	入念な、苦労を伴う	He did painstaking work to perfect the project.	彼はそのプロジェクトを完璧に仕上げるために、入念な作業を行いました。	かれはそのぷろじぇくとをかんぺきにしあげるために、にゅうねんなさぎょうをおこないました。	2	3	2004,4771,9709,3447,6494,2841,5938,13545,13706,6762
3373	be bound up with	to be closely connected or involved with something or someone	結びついている、密接に関連している	His success is bound up with his hard work.	彼の成功は、彼の努力と密接に関連している。	かれのせいこうは、かれのどりょくとみっせつにかんれんしている。	1	3	11260,11058,12880,3166,9855,11557,11043,11900,12836,14008
3374	payload	the part of a missile, rocket, or spacecraft that contains the cargo or passengers	積載量、積載物（特にミサイルやロケットに搭載されるもの）	The missile is designed to carry a critical payload.	そのミサイルは重要な積載物を運ぶために設計されています。	そのみさいるはじゅうようなせきさいぶつをはこぶためにせっけいされています。	2	4	5295,11114,3965,3894,12521,11537,9728,10775,5072,7267
3375	ups and downs	fluctuations or changes in circumstances, such as good and bad times	浮き沈み、人生の波起こし	His life had many ups and downs, but he eventually achieved success.	彼の人生には多くの浮き沈みがあったが、最終的には成功を収めた。	かれのじんせいにはおおくのうきしずみがあったが、さいしゅうてきにはせいこうをおさめた。	1	0	2943,8146,13000,2359,4788,6133,2808,1022,2035,9950
3376	shank	the part of a tool or weapon that connects the blade to the handle; also, a part of the leg between the knee and the ankle	脛（すね）、特に肉の部位の一つ	The chef used pork shank in his special soup.	そのシェフは特製のスープに豚の脛肉を使いました。	そのしぇふはとくせいのすーぷにぶたのすねにくをつかいました。	2	4	3988,2772,4638,3678,237,1765,477,68,13679,432
3377	be impatient with	to become annoyed or frustrated because someone or something is taking too long or not meeting expectations	忍耐できない、せっかちである	He tends to be impatient with slow people.	彼はいつも遅い人に対して忍耐できなくなります。	かれはいつもおそいひとにたいしてにんたいできなくなります。	1	2	11889,3822,4591,3735,7293,6651,5879,3618,10912,6045
3378	bowl over	to surprise or shock someone very much; to knock someone to the ground	驚かせる、感動させる	I was completely bowled over by the special performance.	その特別なパフォーマンスに私は完全に感動させられました。	そのとくべつなぱふぉーまんすにわたしはかんぜんにかんどうさせられました。	1	1	3718,8416,483,6411,8334,6040,3110,5976,14438,8544
3379	incubation	the process of keeping something, especially eggs or bacteria, in conditions that allow it to develop; also, the period during which this happens	培養、発育期間	The incubation period for the influenza virus is about two days.	インフルエンザウイルスの潜伏期間は約2日です。	いんふるえんざういるすのせんぷくきかんはやくふつかです。	2	4	10758,7281,5841,6117,1779,11520,4477,11014,3959,13392
3380	mockery	teasing and contemptuous language or behavior directed at someone or something; ridicule	嘲笑、あざけり	He faced mockery from those around him for his inappropriate comments.	彼の不適切な発言に対して、彼は周囲の人々から嘲笑された。	かれのふてきせつなはつげんにたいして、かれはしゅういのひとびとからちょうしょうされた。	2	2	14139,3007,8359,8144,3876,5630,7480,6831,2693,13330
3381	down the road	in the future; at a later time	将来的に、後に	There might be better opportunities down the road.	将来的には、もっと良い機会があるかもしれません。	しょうらいてきには、もっとよいきかいがあるかもしれません。	1	0	10694,12465,11787,3657,575,12854,11713,1262,3127,5797
3382	in substance	in essence or in the main points; essentially	実質的に、本質的に	He expressed his opposition in substance.	彼は実質的に反対派の意見を表明しました。	かれはじっしつてきにはんたいはのいけんをひょうめいしました。	1	0	10356,12382,2236,12943,3157,12860,6776,11956,9504,4790
3383	monoxide	a colorless, odorless, and toxic gas formed by the incomplete combustion of carbon	一酸化炭素	Carbon monoxide is a very dangerous gas.	一酸化炭素は非常に危険なガスです。	いっさんかたんそはひじょうにきけんながすです。	2	2	12875,12198,3638,11094,4080,6125,358,12356,283,4523
3384	paradigm	a typical example or pattern of something; a model	パラダイム、典型的な例、視点の枠組み	The new research could fundamentally change our paradigm.	新しい研究は、我々のパラダイムを根本的に変える可能性があります。	あたらしいけんきゅうは、われわれのぱらだいむをこんぽんてきにかえるかのうせいがあります。	2	4	1308,3183,786,4109,12839,7529,4363,11547,3827,8781
3385	glance at	to take a quick or hurried look	ちらりと見る、チラッと見る	He glanced at his watch and realized he was going to be late.	彼は時計にちらりと目をやると、遅刻しそうだと気づきました。	かれはとけいにちらりとめをやると、ちこくしそうだときづきました。	1	1	4624,7272,8906,8538,4825,3084,3318,6320,2925,5626
3386	muffled	sound that is not clear or loud, often because it is obstructed or muted	鈍い、こもった、聞こえにくい	The voices outside sounded muffled.	外での声が鈍って聞こえました。	そとでのこえがにぶってきこえました。	2	2	2940,2143,3853,7001,1729,55,2658,8686,4253,1800
3387	moat	a deep, wide ditch surrounding a castle, fort, or town, typically filled with water	堀、城の周囲を囲む水の溝	There was a deep moat surrounding the castle.	城の周りには深い堀がありました。	しろのまわりにはふかいほりがありました。	2	4	13205,729,3364,7729,2155,1344,8467,5544,2066,7299
3388	precept	a general rule or idea that influences behavior or thinking	教え、原則	He always adheres to the precept of honesty.	彼は常に誠実さの重要性という教えを守っています。	かれはつねにせいじつさのじゅうようせいというおしえをまもっています。	2	3	10798,11531,8728,10289,14555,2443,4597,6918,6611,5726
3389	contemptible	deserving contempt; despicable or very bad	軽蔑すべき、恥ずべき	His behavior was contemptible.	彼の行動は軽蔑すべきものでした。	かれのこうどうはけいべつすべきものでした。	2	2	6174,2886,3986,277,3612,13989,4250,3846,4858,7881
3390	adroit	skilled, clever, or resourceful in a difficult situation	巧妙な、器用な	He solved the problem very adroitly.	彼は非常に巧妙にその問題を解決しました。	かれはひじょうにこうみょうにそのもんだいをかいけつしました。	2	3	7828,14176,7261,8227,2424,7958,6475,14461,9685,14204
3391	effusive	expressing feelings of gratitude, pleasure, or approval in an unrestrained or excessive manner	心のこもった、感情的な表現をする様子	She gave us an effusive expression of her gratitude.	彼女は私たちに対する感謝の気持ちを心から伝えてくれました。	かのじょはわたしたちにたいするかんしゃのきもちをこころからつたえてくれました。	2	3	2934,3688,2332,10384,3546,3539,5831,7171,1385,1268
3392	by any chance	used when asking about something politely, meaning 'perhaps' or 'possibly'	ひょっとして、偶然に	Have you seen your friend by any chance?	ひょっとして、あなたの友達を見かけたことがありますか？	ひょっとして、あなたのともだちをみかけたことがありますか?	1	0	1466,1166,2267,11350,12924,407,8987,8985,11603,10329
3393	pastime	an activity that someone does for enjoyment or relaxation	娯楽、趣味	Reading is my favorite pastime.	読書は私の一番の娯楽です。	どくしょはわたしのいちばんのごらくです。	2	4	9261,12179,11621,1100,12801,9017,13759,13327,2144,11617
3394	praise A for B	to express approval or admiration for someone or something because of a specific action or quality	賞賛する、褒める AをBのことで	Everyone praised him for his outstanding achievements.	彼は優れた成果を上げたので、みんなから賞賛されました。	かれはすぐれたせいかをあげたので、みんなからしょうさんされました。	1	3	4715,7369,1000,7255,1856,5716,14159,6684,8236,2540
3395	think out	to consider or plan something carefully and in detail	考える、思いつく	She thought out ideas for the new project.	彼女は新しいプロジェクトについてアイデアを考え出しました。	かのじょはあたらしいぷろじぇくとについてあいであをかんがえだしました。	1	1	7966,8219,3058,2503,4519,11606,839,8280,4838,4782
3396	piety	religious devotion and reverence for God or religious duties	敬虔、信心深さ	Her piety has inspired many people.	彼女の敬虔な態度は、多くの人に感銘を与えました。	かのじょのけいけんなたいどは、おおくのひとにかんめいをあたえました。	2	3	8570,14398,310,6718,4318,1041,12194,3648,8464,13499
3397	moniker	a nickname or informal name	名前、あだ名	He uses the moniker \"Master of Sound\" in that book.	彼はその本で「マスター・オブ・サウンド」というあだ名を使っています。	かれはそのほんで「ますたー・おぶ・さうんど」というあだなをつかっています。	2	4	11891,14320,5302,8112,5926,7552,679,6426,9326,11403
3398	tear up	to rip into pieces or to become very emotional and start crying	涙を流す、感情でいっぱいになる	I couldn't help but tear up during his emotional speech.	彼の感動的なスピーチによって、私は涙を流してしまった。	かれのかんどうてきなすぴーちによって、わたしはなみだをながしてしまった。	1	1	1569,2616,3838,5964,10715,2416,3097,2891,4400,1939
3399	repressive	exerting control or oppression, especially by prohibiting or restricting personal freedoms	抑圧的な、制限を加える	He stood up against the repressive regime.	彼は抑圧的な政権に反対するために立ち上がりました。	かれはよくあつてきなせいけんにはんたいするためにたちあがりました。	2	2	8052,13655,6105,11213,4913,12094,10852,6739,4221,10953
3400	be appropriate to	to be suitable or proper in a particular situation	適切である、ふさわしい	The outfit is appropriate for the event.	このイベントにとって、その服装は適切です。	このいべんとにとって、そのふくそうはてきせつです。	1	3	8740,7366,2759,6732,11175,7263,13320,6662,1947,5752
3401	servile	excessively willing to serve or please others; submissive	奴隷のような、従順な	He displayed a very servile attitude towards his boss.	彼は上司に対して非常に従順な態度を見せた。	かれはじょうしにたいしてひじょうにじゅうじゅんなたいどをみせた。	2	3	8203,14454,13584,3456,3602,7759,2215,6820,8228,3005
3402	embroil in	to involve someone or something deeply in a complicated or difficult situation	巻き込む、混乱させる	He became embroiled in a political scandal.	彼は政治的なスキャンダルに巻き込まれてしまった。	かれはせいじてきなすきゃんだるにまきこまれてしまった。	1	1	7006,8749,5319,7740,11043,5777,12585,14343,12249,3373
3403	pliant	easily bent, flexible, or adaptable	柔軟な、従順な	She is very pliant and can adapt to any demands.	彼女は非常に柔軟で、どんな要求にも応じることができます。	かのじょはひじょうにじゅうなんで、どんなようきゅうにもおうじることができます。	2	3	2364,5755,7282,13932,1405,3582,2739,12133,7035,12390
3404	meek	quiet, gentle, and not willing to argue or express strong feelings	控えめな、従順な	He has a meek personality and always considers those around him.	彼は控えめな性格で、いつも周りに気を使っています。	かれはひかえめなせいかくで、いつもまわりにきをつかっています。	2	2	5906,6261,4064,2767,1749,6489,2948,13866,38,3990
3405	beware of	be cautious or alert about the possible danger or problems associated with something or someone	注意する、気を付ける	Beware of slippery surfaces in this area.	この場所では滑りやすいので、注意してください。	このばしょではすべりやすいので、ちゅういしてください。	1	3	4029,8652,4896,12267,11308,1606,12855,119,7445,8516
3406	taciturn	reserved or uncommunicative in speech; saying little	無口な、口数が少ない	He is very taciturn, often leaving conversations unbroken.	彼は非常に無口で、会話が続かないことがよくあります。	かれはひじょうにむくちで、かいわがつづかないことがよくあります。	2	2	14206,55,2767,1729,6995,3315,13866,13786,8055,576
3407	out of place	not suitable or appropriate in a particular situation; feeling uncomfortable or awkward	場違いで、周囲と調和しない状態	He showed up in inappropriate attire, feeling completely out of place at the formal event.	彼はそのフォーマルな場に場違いな服装で現れました。	かれはそのふぉーまるなばにばちがいなふくそうであらわれました。	1	2	13993,5880,13344,8700,1695,3265,13625,8613,8413,14122
3408	marquee	a large tent used for events; also refers to a prominent or leading position	大きなテント、特にイベントのための装飾されたテント	A large marquee was set up in the garden for the wedding.	その結婚式のために、庭に大きなマルキーが設置されました。	そのけっこんしきのために、にわにおおきなまるきーがせっちされました。	2	4	9410,6443,8937,65,6197,1994,6076,11781,5895,2410
3409	insist on	demand something forcefully, not accepting refusal	主張する、強く要求する	He insisted on implementing the proposal.	彼はその提案を実行するよう強く主張しました。	かれはそのていあんをじっこうするようつよくしゅちょうしました。	1	2	8687,4854,5746,214,7132,7811,11890,11564,414,12549
3410	montage	a picture or video made by combining several different images or scenes	組み合わせ、特に映像や写真を使った技術的な編集手法	A wonderful montage was used in the movie's climax scene to express the emotions.	映画のクライマックスシーンでは、感情を表現するために素晴らしいモンタージュが使われました。	えいがのくらいまっくすしーんでは、かんじょうをひょうげんするためにすばらしいもんたーじゅがつかわれました。	2	4	12303,546,124,7302,4275,9559,12507,10076,10098,4369
3411	tacky	showing poor taste; cheap or gaudy in appearance	安っぽい、みすぼらしい	The decoration looked a bit tacky.	そのデコレーションは少し安っぽく見えました。	そのでこれーしょんはすこしやすっぽくみえました。	2	2	4660,7023,8049,6893,8160,8214,8811,2843,2336,2860
3412	interfere with	to get involved in or try to influence a situation in a way that is unwanted or unwelcome	干渉する、妨げる	He asked me not to interfere with his plans.	彼は私の計画に干渉しないでほしいと言いました。	かれはわたしのけいかくにかんしょうしないでほしいといいました。	1	1	2696,5399,1584,498,10638,3062,7196,7740,5505,7006
3413	vociferous	expressing opinions or feelings loudly and forcefully	大声で主張する、騒々しい	His vociferous opinions were very prominent during the meeting.	彼の意見は、会議中にとても騒々しくて目立っていました。	かれのいけんは、かいぎちゅうにとてもそうぞうしくてめだっていました。	2	2	2998,3425,11968,4047,6392,7871,2024,2982,7702,7789
3414	swallow up	to completely consume, engulf, or absorb something so that it disappears or is no longer visible.	飲み込む、呑み込む	His heart was swallowed up by fear when he heard the news.	そのニュースが聞こえたとき、彼の心は恐怖に飲み込まれた。	そのにゅーすがきこえたとき、かれのこころはきょうふにのみこまれた。	1	1	4867,5420,30,12112,3490,6230,2848,6883,2321,8130
3415	padlock	a lock with a shackle that passes through a hasp or a link in a chain and is secured by a key, used to secure doors, gates, or containers.	南京錠、施錠するためのロック装置	I bought a new padlock to keep my bicycle safe.	私は新しい南京錠を買って、自転車を安全に保管しました。	わたしはあたらしいなんきんじょうをかって、じてんしゃをあんぜんにほかんしました。	2	4	2056,13984,4974,2334,47,13507,5586,389,9291,9308
3416	entrust A with B	to give someone the responsibility for doing or looking after something, expecting them to take care of it.	委託する、託す	I entrusted him with my documents.	彼に私の書類を託しました。	かれにわたしのしょるいをたくしました。	1	1	2729,4633,6039,8321,12450,4973,2664,3987,5694,11861
3417	hail from	to originate from a particular place; to come from or be a native of a certain location.	〜から来る、〜出身である	She hails from a small town in America.	彼女はアメリカの小さな町から来ています。	かのじょはあめりかのちいさなまちからきています。	1	1	7568,2859,7543,5915,596,11818,12482,11310,9262,6351
3418	overcast	covered with clouds, making the sky appear gray and gloomy, often resulting in dull weather.	曇っている、雲に覆われた	It's overcast today, so it might rain.	今日は空が曇っているので、雨が降るかもしれません。	きょうはそらがくもっているので、あめがふるかもしれません。	2	2	6559,2392,7065,13198,8028,4048,4517,4069,3104,13138
3419	slip of the tongue	an unintentional mistake made while speaking, typically saying something other than what was intended.	口を滑らせる	He had a clear slip of the tongue when he mistakenly said the wrong name in front of everyone.	彼は皆の前で間違って名前を言ってしまったが、これは明らかに口を滑らせた行為だった。	かれはみなのまえでまちがってなまえをいってしまったが、これはあきらかにくちをすべらせたこういだった。	1	2	10353,715,3049,5443,3451,7387,14546,14036,13553,10902
3420	parochial	having a narrow or limited outlook or scope; also related to a church parish.	狭い、限られた視野の、地方的な	I believe his perspective is very parochial.	彼の考え方は狭い範囲にとらわれていると思います。	かれのかんがえかたはせまいはんいにとらわれているとおもいます。	2	3	1418,12771,7915,7437,1125,12415,6919,13682,7755,12564
3421	all ears	paying close attention; very eager to listen.	すべての耳、注意深く聞いている状態	I'm all ears to hear your story.	私はあなたの話を注意深く聞いています。	わたしはあなたのはなしをちゅういふかくきいています。	1	3	13706,205,2409,10841,14072,1656,6607,14416,4771,2884
3422	spasm	an involuntary and sudden contraction of a muscle, causing a quivering or twitching movement.	痙攣、突然の筋肉の収縮	He felt pain from a spasm in his arm.	彼は腕の痙攣で痛みを感じました。	かれはうでのけいれんでいたみをかんじました。	2	2	5011,6595,3122,3258,3905,3209,11716,4235,5688,1315
3423	pompous	having an exaggerated display of dignity or importance; overly self-important or arrogant.	堅苦しくてうぬぼれた、自己主張の強い	He always adopts a pompous attitude, flaunting his own importance.	彼は常に自分の重要性を誇示する、堅苦しい態度を取っています。	かれはつねにじぶんのじゅうようせいをこじする、かたくるしいたいどをとっています。	2	3	6028,6585,3610,13678,4097,4401,3847,1345,7215,8403
3424	draw a line	to set a limit or boundary, either physically or metaphorically; to decide what is acceptable and what is not	線を引く、線を描く	He drew a line on the blackboard.	彼は黒板に線を引いた。	かれはこくばんにせんをひいた。	1	1	12898,6703,5342,5024,8599,5876,10768,10100,1296,1023
3425	vehement	showing strong feeling; forceful, passionate, or intense in expression	激しい、強烈な	He had a vehement opposition to the issue.	彼はその問題に対して強い反対意見を持っていました。	かれはそのもんだいにたいしてつよいはんたいいけんをもっていました。	2	3	5382,7789,8431,14527,4068,13295,3604,3413,3583,3849
3426	periphery	the outer edge or boundary of an area or object; the surrounding region	周辺、外周部	He lives on the periphery of the city.	彼は都市の周辺に住んでいます。	かれはとしのしゅうへんにすんでいます。	2	4	11187,1897,12280,10599,4759,6616,2670,8302,4618,2243
3427	take steps	to begin doing something in order to achieve a particular result; to make progress by taking actions	対策を講じる、手段を取る	We need to take steps to address this issue immediately.	この問題を解決するために、早急に対策を講じる必要があります。	このもんだいをかいけつするために、さっきゅうにたいさくをこうじるひつようがあります。	1	1	11026,11267,5253,6885,6823,5512,2412,5037,45,11960
3428	complacent	showing smug or uncritical satisfaction with oneself or one's achievements, often leading to a lack of awareness of potential dangers	自己満足に陥った、現状に満足するあまり向上心のない	He is complacent about his success and makes no effort to improve.	彼は成功に満足し過ぎて、何も努力しようとしない状態です。	かれはせいこうにまんぞくしすぎて、なにもどりょくしようとしないじょうたいです。	2	3	5640,6585,6028,3847,4097,3610,13678,1345,3591,5105
3429	live off	to depend on someone or something for support or income, often without working or making effort	生きるために何かを頼る、依存する	He lives off his parents' allowance.	彼は親からの仕送りで生活しています。	かれはおやからのしおくりでせいかつしています。	1	1	3133,8618,2116,12398,11951,10410,3936,2790,5167,2081
3430	membrane	a thin, flexible layer of tissue that covers surfaces, lines cavities, or divides organs in the body	膜、細胞や器官を覆っている薄い層	The cell membrane separates the inside of the cell from the outside.	細胞膜は細胞の内部と外部を隔てています。	さいぼうまくはさいぼうのないぶとがいぶをへだてています。	2	4	12548,1144,8291,2184,13590,579,11529,2181,13306,3956
3431	nepotism	the practice of favoring relatives or friends, especially by giving them jobs	縁故主義、親族や友人を優遇すること	Nepotism is rampant in the company, making it difficult for capable individuals to get promoted.	その会社では、縁故主義が広まっているため、実力ある人が昇進できないことが多い。	そのかいしゃでは、えんこしゅぎがひろまっているため、じつりょくあるひとがしょうしんできないことがおおい。	2	3	12008,6932,3602,215,11428,7725,7171,6937,13676,6915
3432	out of the ordinary	unusual or not typical; different from what is usual or normal	普通でない、異常なこと	He came up with an out of the ordinary idea.	彼は普通でないアイデアを思いついた。	かれはふつうでないあいであをおもいついた。	1	2	11002,10500,10407,5312,11427,1151,7824,7166,2098,6481
3433	illegible	not clear enough to read or decipher; hard to read	読むことができない、判読不可能な	His handwritten notes were so illegible.	彼の手書きのメモはとても読みにくかった。	かれのてがきのめもはとてもよみにくかった。	2	2	8686,10205,6872,4253,4371,7748,3531,14274,3853,2940
3434	in the concrete	existing or happening in reality; not hypothetical or abstract	コンクリートの中で、物理的な現実の中で、具体的な事実	He is trying to find the truth in the concrete.	彼は、具体的な事実の中に真実を見出そうとしている。	かれは、ぐたいてきなじじつのなかにしんじつをみいだそうとしている。	1	3	1534,1742,12980,5847,8226,1968,11922,9846,9417,725
3435	tactile	relating to or perceptible by touch	触覚の、触れることに関する	She was able to understand art more deeply through tactile experiences.	彼女は触覚的な経験を通じて、芸術をより深く理解できるようになりました。	かのじょはしょっかくてきなけいけんをつうじて、げいじゅつをよりふかくりかいできるようになりました。	2	3	4392,8226,7199,7435,10705,12607,12955,9614,5323,4635
3436	predisposition	a tendency to behave in a certain way; susceptibility to a condition or disease	傾向、素因	He has a genetic predisposition to the disease.	彼は病気に対する遺伝的な素因を持っています。	かれはびょうきにたいするいでんてきなそいんをもっています。	2	3	5222,8355,2800,12776,2650,8685,2964,4934,11750,1598
3437	scribe	to write or record information; a person who copies out documents, especially one employed to do this before printing	書き手、筆記者	He hired a scribe to document all the important events.	彼は重要な出来事をすべて記録するために、専属の筆記者を雇いました。	かれはじゅうようなできごとをすべてきろくするために、せんぞくのひっきしゃをやといました。	2	1	10913,10802,8013,8042,8110,982,8543,12978,5740,4923
3438	manic	showing wild, apparently uncontrolled, excitement or energy	狂気的な、非常に興奮した状態	He kept talking in a manic way, as if he couldn't calm down.	彼は非常に興奮して、まるで狂気のように話し続けた。	かれはひじょうにこうふんして、まるできょうきのようにはなしつづけた。	2	2	10331,3546,14142,5831,7216,3339,2982,14527,13275,5129
3439	modality	a particular mode in which something exists or is experienced or expressed	様式、手段、方法	He designed the class considering various modalities of learning.	彼はさまざまな学習様式を考慮して授業をデザインしました。	かれはさまざまながくしゅうようしきをこうりょしてじゅぎょうをでざいんしました。	2	3	9477,13028,11680,11149,10226,10957,10394,8383,10804,12206
3440	unscathed	not harmed or damaged in any way; completely safe	無傷の、影響を受けていない	He emerged from the accident unscathed.	彼は事故から無傷で逃れました。	かれはじこからむきずでのがれました。	2	2	13798,3475,7911,9722,11473,2384,2397,10781,14259,4303
